basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
IEOP0061,641.365,98.144,42.66,1.563,86.524,0.193,0.572,0.179
IEOP0062,509.029,150.014,71.094,2.444,70.66,0.062,0.69,0.177
IEOP0063,509.029,143.148,75.67,2.172,76.993,0.123,0.615,0.142
IEOP0064,791.413,101.535,7.968,1.958,81.159,0.653,0.599,0.175
IEOP0065,340.202,120.176,27.543,2.266,72.774,0.021,0.632,0.166
IEOP0066,525.001,150.869,45.58,2.518,71.324,0.424,0.658,0.165
IEOP0067,334.564,209.64,59.024,3.117,55.012,0.018,0.627,0.142
IEOP0068,525.001,151.759,76.329,2.551,73.706,0.908,0.526,0.181
IEOP0069,348.257,128.708,73.826,1.776,86.252,0.289,0.588,0.14
IEOP0070,525.001,138.074,5.953,2.527,70.502,0.332,0.581,0.164
IEOP0071,340.202,158.484,62.475,2.783,59.216,0.041,0.658,0.18
IEOP0072,525.001,140.627,20.752,2.451,72.005,0.331,0.637,0.166
IEOP0073,223.295,101.396,48.534,1.684,85.342,0.0,0.657,0.129
IEOP0074,525.001,152.977,45.634,2.553,70.743,0.442,0.651,0.165
IEOP0075,525.001,149.766,39.72,2.524,71.254,0.429,0.667,0.165
IEOP0076,288.878,131.652,108.838,1.136,94.497,0.563,0.627,0.167
IEOP0077,474.06,130.08,88.023,1.275,92.353,0.274,0.671,0.171
IEOP0078,450.622,156.693,73.611,3.634,56.788,1.329,0.712,0.196
IEOP0079,430.328,184.372,66.682,4.188,46.785,1.568,0.514,0.179
IEOP0080,454.438,203.937,66.976,5.3,40.495,4.096,0.517,0.235
IEOP0081,910.709,140.141,34.3,2.87,73.101,2.141,0.554,0.199
IEOP0082,717.614,119.164,19.271,2.986,69.446,1.453,0.65,0.183
IEOP0083,910.709,149.793,13.942,3.64,65.142,3.486,0.627,0.192
IEOP0084,798.399,195.608,28.62,6.454,44.295,11.992,0.592,0.163
IEOP0085,767.65,287.062,33.892,8.229,9.794,9.188,0.627,0.139
IEOP0086,150.57,124.203,106.162,0.731,99.181,0.0,0.525,0.122
IEOP0087,910.709,142.584,2.777,3.588,65.144,3.203,0.691,0.189
IEOP0088,910.709,145.449,24.112,3.356,68.868,3.288,0.563,0.195
IEOP0089,910.709,149.851,13.942,3.638,65.163,3.485,0.626,0.192
IEOP0090,910.709,149.959,13.942,3.623,65.294,3.465,0.626,0.192
